,Time [],Temperature [C],N2O_2 [gN/h],O2_2 [mgO_2/m^3],Inflow_2 [l/s]
12633,13-Apr-2016 07:45:00,14.4266666666667,0.112332414337733,2.6,5.26666666666667
12634,13-Apr-2016 08:00:00,14.4428571428571,0.105403044419288,2.94285714285714,5.71428571428571
12635,13-Apr-2016 08:15:00,14.4466666666667,0.0930796374190727,2.79333333333333,6.66666666666667
12636,13-Apr-2016 08:30:00,14.4933333333333,0.0859245008423214,2.34666666666667,9.26666666666667
12637,13-Apr-2016 08:45:00,14.5,0.0879312774018163,2.38666666666667,8.33333333333333
12638,13-Apr-2016 09:00:00,14.5,0.0873202508683885,2.46875,21.25
12639,13-Apr-2016 09:15:00,14.5,0.0837999659498381,2.86,31.4
12640,13-Apr-2016 09:30:00,14.5142857142857,0.0811330811062214,2.58571428571429,22.8571428571429
12641,13-Apr-2016 09:45:00,14.5066666666667,0.0831765138312878,2.28666666666667,26.2
12642,13-Apr-2016 10:00:00,14.5866666666667,0.0909521795089747,2.09333333333333,27.9333333333333
12643,13-Apr-2016 10:15:00,14.58,0.0956865523222851,2.50666666666667,27.4
12644,13-Apr-2016 10:30:00,14.6,0.0956025954758979,2.7375,13.75
12645,13-Apr-2016 10:45:00,14.6133333333333,0.091317148984498,2.71333333333333,13.0666666666667
12646,13-Apr-2016 11:00:00,14.6,0.0737033630966032,3.13571428571429,15.2142857142857
12647,13-Apr-2016 11:15:00,14.6,0.0519752934028936,3.10666666666667,15.9333333333333
12648,13-Apr-2016 11:30:00,14.6133333333333,0.0479826184933448,1.89333333333333,11.8
12649,13-Apr-2016 11:45:00,14.6733333333333,0.0776715564273981,1.03333333333333,8.46666666666667
12650,13-Apr-2016 12:00:00,14.69375,0.105705858060323,2.275,8.25
12651,13-Apr-2016 12:15:00,14.6533333333333,0.100870914185754,3.6,12.6666666666667
12652,13-Apr-2016 12:30:00,14.7,0.0753116888045354,3.38571428571429,9.71428571428571
12653,13-Apr-2016 12:45:00,14.7,0.0636109071594681,2.26666666666667,10.4
12654,13-Apr-2016 13:00:00,14.7,0.0763929848112823,1.47333333333333,10.5333333333333
12655,13-Apr-2016 13:15:00,14.7,0.0959026434347684,2.22,11.4666666666667
12656,13-Apr-2016 13:30:00,14.7,0.0912605212830654,3.24375,21.1875
12657,13-Apr-2016 13:45:00,14.66,0.0707230952224641,3.17333333333333,30.6666666666667
12658,13-Apr-2016 14:00:00,14.6428571428571,0.0620572528930392,2.28571428571429,25.2857142857143
12659,13-Apr-2016 14:15:00,14.7,0.0778941187789321,1.50666666666667,20.7333333333333
12660,13-Apr-2016 14:30:00,14.7,0.0967005984928536,2.10666666666667,6.33333333333333
12661,13-Apr-2016 14:45:00,14.7,0.0949942675017729,3.14,7.93333333333333
12662,13-Apr-2016 15:00:00,14.69375,0.0741931231916761,3.24375,6.375
12663,13-Apr-2016 15:15:00,14.6,0.0646487135391823,2.31333333333333,10.0
12664,13-Apr-2016 15:30:00,14.6142857142857,0.0718151028914901,1.9,7.71428571428571
12665,13-Apr-2016 15:45:00,14.6466666666667,0.0839092630031764,2.21333333333333,6.13333333333333
12666,13-Apr-2016 16:00:00,14.6333333333333,0.0844917031167796,2.93333333333333,6.53333333333333
12667,13-Apr-2016 16:15:00,14.6,0.0723105372080309,3.06,7.8
12668,13-Apr-2016 16:30:00,14.6,0.06232234257928,2.45,12.5
12669,13-Apr-2016 16:45:00,14.6,0.0638294982109528,2.09333333333333,10.7333333333333
12670,13-Apr-2016 17:00:00,14.6,0.073628275748604,2.16428571428571,21.8571428571429
12671,13-Apr-2016 17:15:00,14.6133333333333,0.0773286190358424,2.78666666666667,32.5333333333333
12672,13-Apr-2016 17:30:00,14.6266666666667,0.0714132077617759,3.00666666666667,40.3333333333333
12673,13-Apr-2016 17:45:00,14.6733333333333,0.0641161255005533,2.35333333333333,33.0666666666667
12674,13-Apr-2016 18:00:00,14.7,0.0752142715592662,1.68125,37.25
12675,13-Apr-2016 18:15:00,14.7,0.0971621274654184,2.18,36.9333333333333
12676,13-Apr-2016 18:30:00,14.7,0.107470833037885,2.67857142857143,36.0714285714286
12677,13-Apr-2016 18:45:00,14.7,0.105837115815116,2.76,38.6666666666667
